,article_id,dates
2028,38f9fa6f,"[datetime.date(2017, 12, 12), datetime.date(2017, 10, 7), datetime.date(2017, 5, 29), datetime.date(2017, 12, 1), datetime.date(2017, 12, 11)]"
167,13e2855b,"[datetime.date(2018, 5, 12), datetime.date(2015, 5, 11), datetime.date(2014, 5, 11)]"
2923,4c442a0e,[]
2445,418f36c5,"[datetime.date(2020, 12, 13), datetime.date(2017, 12, 25), datetime.date(2017, 8, 13)]"
8329,ba8c7bc7,"[datetime.date(2018, 5, 7), datetime.date(2018, 5, 6), datetime.date(2018, 5, 3), datetime.date(2018, 3, 6), datetime.date(2018, 5, 1)]"
4990,772a9f8,"[datetime.date(2065, 12, 7), datetime.date(2019, 12, 7), datetime.date(2017, 12, 8), datetime.date(2017, 12, 7), datetime.date(2018, 12, 7)]"
7975,b304a3f9,"[datetime.date(2017, 12, 6), datetime.date(2017, 12, 1)]"
6659,98a2e2e4,"[datetime.date(2018, 9, 5)]"
3458,582e5960,[]
8094,b58fd9c4,[]
8716,c25ce814,[]
9366,cf5979cb,"[datetime.date(2018, 5, 15), datetime.date(2017, 5, 10), datetime.date(2017, 11, 10), datetime.date(2018, 5, 5), datetime.date(2018, 5, 16)]"
9908,da685293,[]
2626,456984d1,"[datetime.date(2017, 2, 9), datetime.date(2005, 12, 8), datetime.date(2017, 12, 8)]"
3643,5c119f9e,"[datetime.date(2018, 5, 29)]"
4194,66b11e9d,"[datetime.date(2020, 2, 6), datetime.date(2018, 1, 6), datetime.date(2018, 2, 6)]"
8775,c383772d,"[datetime.date(2017, 5, 18), datetime.date(2018, 5, 18), datetime.date(2018, 2, 18), datetime.date(2018, 5, 23), datetime.date(2017, 8, 30)]"
3620,5b8e413,"[datetime.date(2018, 4, 26), datetime.date(2023, 6, 30)]"
9893,da1f864c,"[datetime.date(2018, 5, 30), datetime.date(2017, 11, 30), datetime.date(2018, 1, 31), datetime.date(2018, 12, 30), datetime.date(2018, 2, 1)]"
2752,482224ec,"[datetime.date(2018, 5, 12)]"
915,22277734,"[datetime.date(2018, 5, 17), datetime.date(2018, 3, 16), datetime.date(2018, 12, 16)]"
180,14217add,"[datetime.date(2017, 12, 18), datetime.date(2017, 12, 6), datetime.date(2018, 12, 13), datetime.date(2017, 12, 19), datetime.date(2065, 12, 13)]"
7038,a089516a,"[datetime.date(2014, 4, 2), datetime.date(2018, 4, 2), datetime.date(2018, 5, 2), datetime.date(2018, 4, 21), datetime.date(2016, 4, 2)]"
6289,914b9c12,"[datetime.date(2019, 4, 30), datetime.date(2018, 12, 30), datetime.date(2018, 4, 6), datetime.date(2018, 4, 30)]"
10274,e1fcc9e4,"[datetime.date(2018, 5, 25), datetime.date(2048, 1, 25), datetime.date(2018, 1, 6)]"
4899,754563a1,[]
2710,47690982,"[datetime.date(2018, 2, 26), datetime.date(2018, 1, 22), datetime.date(2018, 1, 26), datetime.date(2018, 5, 26), datetime.date(2014, 2, 26)]"
1684,3170f1fc,"[datetime.date(2017, 12, 9), datetime.date(2011, 12, 7), datetime.date(2017, 12, 20), datetime.date(2017, 12, 5), datetime.date(2017, 12, 21)]"
1621,3023cfb7,"[datetime.date(2017, 12, 20), datetime.date(2017, 12, 21), datetime.date(2018, 12, 21)]"
2540,43e916ec,"[datetime.date(2018, 1, 24), datetime.date(2048, 1, 24), datetime.date(2018, 1, 25)]"
388,17fed1b,[]
11520,fb970f2c,"[datetime.date(2018, 3, 11), datetime.date(2025, 3, 10), datetime.date(2020, 3, 10)]"
11732,ffa2ad3a,"[datetime.date(2018, 5, 26)]"
11084,f2bda305,"[datetime.date(2018, 2, 10)]"
7748,ae9b0691,"[datetime.date(2018, 3, 31), datetime.date(2018, 3, 10), datetime.date(2040, 3, 31), datetime.date(2018, 5, 31)]"
549,1b538c83,"[datetime.date(2018, 3, 5), datetime.date(2018, 3, 21), datetime.date(2018, 10, 13), datetime.date(2020, 3, 21)]"
8294,ba071132,"[datetime.date(2017, 5, 25), datetime.date(2016, 12, 25), datetime.date(2038, 12, 25), datetime.date(2017, 12, 25)]"
2374,400ed2df,"[datetime.date(2015, 5, 17), datetime.date(2017, 9, 17), datetime.date(2018, 1, 17), datetime.date(2018, 12, 17), datetime.date(2011, 11, 17)]"
10852,edf940ef,"[datetime.date(2016, 11, 6), datetime.date(2019, 6, 6), datetime.date(2017, 6, 6), datetime.date(2018, 6, 6), datetime.date(2017, 12, 6)]"
2785,48bd4119,"[datetime.date(2018, 12, 8), datetime.date(2016, 12, 8), datetime.date(2017, 12, 8)]"
6099,8d4f6323,"[datetime.date(2018, 1, 31)]"
4100,64c494af,"[datetime.date(2018, 3, 8)]"
1354,2af5e7db,"[datetime.date(2018, 2, 2), datetime.date(2018, 2, 7)]"
8126,b66bfd6b,"[datetime.date(2018, 6, 5), datetime.date(2018, 9, 5)]"
11038,f1b12997,"[datetime.date(2018, 1, 16), datetime.date(2019, 1, 16), datetime.date(2017, 12, 16), datetime.date(2017, 5, 16), datetime.date(2016, 6, 16)]"
3206,52b0f5bd,"[datetime.date(2017, 1, 30), datetime.date(2016, 1, 30), datetime.date(2023, 1, 30), datetime.date(2018, 1, 30), datetime.date(2009, 1, 30)]"
2389,4064f1d0,[]
9884,d9f385dd,"[datetime.date(2017, 2, 22)]"
6487,959539f9,"[datetime.date(2017, 12, 20), datetime.date(2017, 12, 15), datetime.date(2025, 12, 20)]"
11644,fe12a506,[]
730,1edaf836,"[datetime.date(2030, 12, 20), datetime.date(2017, 3, 20), datetime.date(2000, 12, 20), datetime.date(2033, 12, 20), datetime.date(2017, 12, 25)]"
3697,5cf74e39,"[datetime.date(2018, 1, 7), datetime.date(2018, 7, 2)]"
3613,5b7a7757,"[datetime.date(2018, 12, 9), datetime.date(2018, 3, 9), datetime.date(2018, 5, 14), datetime.date(2018, 5, 9), datetime.date(2020, 12, 9)]"
6122,8dc0f41f,"[datetime.date(2020, 12, 31)]"
10560,e7fa561a,[]
8261,b95831bb,"[datetime.date(2018, 2, 14)]"
8055,b467cff4,"[datetime.date(2018, 4, 24), datetime.date(2016, 9, 24)]"
10577,e84c3f70,"[datetime.date(2014, 5, 24), datetime.date(2015, 5, 24), datetime.date(2016, 5, 24), datetime.date(2017, 5, 24), datetime.date(2009, 5, 24)]"
1069,253a968b,"[datetime.date(2018, 5, 7), datetime.date(2018, 5, 3), datetime.date(2016, 5, 14), datetime.date(2018, 8, 14), datetime.date(2018, 3, 14)]"
1675,315e2c59,"[datetime.date(2018, 3, 2), datetime.date(2023, 2, 28), datetime.date(2023, 3, 17)]"
9118,ca67de3d,[]
9184,cbf4d028,"[datetime.date(2018, 3, 22), datetime.date(2018, 2, 22), datetime.date(2008, 2, 22)]"
9010,c809d99,"[datetime.date(2018, 3, 5), datetime.date(2018, 3, 21), datetime.date(2018, 12, 23), datetime.date(2030, 3, 23), datetime.date(2025, 3, 23)]"
2627,456a3c6b,"[datetime.date(2018, 5, 4), datetime.date(2018, 5, 1), datetime.date(2006, 5, 3), datetime.date(2051, 4, 28)]"
9814,d86cf19c,"[datetime.date(2018, 6, 12), datetime.date(2018, 12, 30), datetime.date(2018, 3, 30), datetime.date(2018, 5, 29)]"
2553,442bb4c6,[]
11452,fa60cca1,"[datetime.date(2018, 1, 4)]"
8147,b6cb5ed3,[]
3728,5d8d1dfa,"[datetime.date(2018, 1, 14), datetime.date(2063, 1, 8), datetime.date(2017, 1, 8), datetime.date(2044, 1, 8), datetime.date(2018, 1, 11)]"
3031,4e9d487d,[]
1219,2826426a,"[datetime.date(2018, 2, 9), datetime.date(2018, 2, 5), datetime.date(2023, 3, 3)]"
5187,7b211b22,"[datetime.date(2014, 3, 27), datetime.date(2040, 3, 27), datetime.date(2017, 3, 27), datetime.date(2030, 3, 27), datetime.date(2021, 3, 27)]"
2024,38e1d983,[]
3895,607fdc0c,"[datetime.date(2018, 4, 1)]"
6794,9b704f2b,"[datetime.date(2018, 10, 27), datetime.date(2018, 12, 27)]"
2483,428ec01f,"[datetime.date(2018, 3, 1)]"
40,10efeb49,"[datetime.date(2017, 12, 29), datetime.date(2017, 12, 24), datetime.date(2012, 12, 24)]"
9414,d027d1a9,"[datetime.date(2018, 5, 10), datetime.date(2018, 5, 16)]"
2881,4b2bb24e,"[datetime.date(2018, 2, 3)]"
7986,b33c2e52,"[datetime.date(2015, 12, 5), datetime.date(2018, 1, 25), datetime.date(2018, 2, 5)]"
1203,27ecc4b4,"[datetime.date(2016, 11, 8), datetime.date(2011, 12, 8), datetime.date(2017, 12, 8)]"
3003,4de57ba2,"[datetime.date(2018, 4, 13), datetime.date(2014, 3, 13), datetime.date(2018, 5, 13), datetime.date(2018, 6, 13), datetime.date(2018, 5, 14)]"
11680,fed27e7e,"[datetime.date(2017, 12, 27)]"
11504,fb55cc0f,"[datetime.date(2010, 5, 24), datetime.date(2021, 5, 24), datetime.date(2018, 5, 17), datetime.date(2018, 12, 24)]"
4299,68b1e6da,[]
6054,8c8e63ac,"[datetime.date(2018, 5, 2), datetime.date(2018, 5, 1), datetime.date(2018, 5, 10)]"
9455,d12841f4,[]
6374,93195f9f,"[datetime.date(2018, 1, 31)]"
2379,4026f4ed,"[datetime.date(2018, 3, 7), datetime.date(2016, 6, 7)]"
9829,d8c6e96f,"[datetime.date(2033, 4, 4), datetime.date(2016, 4, 4), datetime.date(2017, 4, 4), datetime.date(2018, 3, 4), datetime.date(2018, 4, 10)]"
9382,cf9fcda9,"[datetime.date(2025, 2, 14), datetime.date(2018, 3, 14), datetime.date(2032, 2, 14)]"
6783,9b368cac,"[datetime.date(2015, 8, 2), datetime.date(2043, 5, 2)]"
2399,409360f7,"[datetime.date(2018, 6, 4), datetime.date(2017, 6, 4), datetime.date(2018, 5, 4), datetime.date(2016, 6, 4), datetime.date(2018, 6, 14)]"
6086,8d1bfb31,"[datetime.date(2018, 3, 5), datetime.date(2018, 3, 3), datetime.date(2019, 3, 13), datetime.date(2018, 1, 17), datetime.date(2018, 3, 4)]"
11317,f7c9bda7,"[datetime.date(2018, 1, 19), datetime.date(2018, 1, 3), datetime.date(2018, 1, 9), datetime.date(2018, 1, 18), datetime.date(2018, 1, 4)]"
5090,7951cf04,"[datetime.date(2018, 3, 30), datetime.date(2018, 1, 16), datetime.date(2018, 3, 16)]"
7589,abbc91d0,"[datetime.date(2017, 12, 12), datetime.date(2017, 12, 9), datetime.date(2016, 1, 12), datetime.date(2016, 5, 12)]"
456,195dd348,[]
8850,c5346537,"[datetime.date(2018, 3, 16)]"
10545,e7ba0b6f,[]
22,1085f65e,"[datetime.date(2018, 3, 25), datetime.date(2018, 1, 25), datetime.date(2018, 1, 26), datetime.date(2030, 1, 29)]"
8650,c0f2e355,"[datetime.date(2021, 12, 19), datetime.date(2045, 12, 19), datetime.date(2017, 12, 18), datetime.date(2017, 12, 19), datetime.date(2017, 12, 11)]"
10970,f036b60d,"[datetime.date(2018, 1, 30), datetime.date(2018, 2, 5)]"
1158,2712b87e,"[datetime.date(2018, 5, 31), datetime.date(2015, 7, 25), datetime.date(2017, 3, 25), datetime.date(2014, 12, 4)]"
7159,a332093e,"[datetime.date(2018, 3, 15), datetime.date(2022, 3, 12)]"
11223,f58d4bf3,"[datetime.date(2015, 5, 19), datetime.date(2018, 5, 25)]"
2750,480bfc95,[]
5815,876dcca1,"[datetime.date(2018, 12, 9), datetime.date(2017, 11, 15), datetime.date(2017, 12, 15), datetime.date(2017, 5, 9), datetime.date(2017, 1, 9)]"
10504,e7149aa3,"[datetime.date(2025, 3, 14), datetime.date(2018, 3, 3), datetime.date(2030, 3, 14), datetime.date(2018, 3, 30), datetime.date(2014, 3, 14)]"
1885,35b29872,[]
2519,435f31d6,"[datetime.date(2018, 6, 10), datetime.date(2018, 6, 20)]"
3777,5e8c53f9,"[datetime.date(2018, 5, 19), datetime.date(2018, 3, 19), datetime.date(2017, 3, 19), datetime.date(2018, 3, 16)]"
11061,f23c50f8,"[datetime.date(2018, 12, 25), datetime.date(2018, 7, 25), datetime.date(2018, 1, 12)]"
359,1775e5df,"[datetime.date(2017, 1, 8), datetime.date(2019, 12, 8), datetime.date(2017, 12, 8), datetime.date(2017, 5, 8), datetime.date(2050, 12, 8)]"
8287,b9e2351c,[]
9330,ce9b6bf8,"[datetime.date(2018, 5, 28), datetime.date(2017, 5, 28), datetime.date(2016, 10, 1), datetime.date(2018, 2, 28), datetime.date(2017, 12, 28)]"
9014,c82c6d09,[]
3319,55187838,"[datetime.date(2018, 12, 15)]"
1833,34998ead,"[datetime.date(2017, 12, 18), datetime.date(2018, 1, 6), datetime.date(2018, 1, 2), datetime.date(2045, 1, 18), datetime.date(2017, 1, 18)]"
3701,5d0fabbd,"[datetime.date(2018, 1, 25), datetime.date(2018, 1, 20), datetime.date(2048, 1, 20), datetime.date(2009, 1, 20), datetime.date(2018, 3, 20)]"
6861,9cd74fd5,"[datetime.date(2016, 1, 12), datetime.date(2017, 12, 12), datetime.date(2017, 12, 3)]"
11154,f436fe52,[]
7760,aed09d92,"[datetime.date(2018, 1, 7), datetime.date(2018, 1, 17), datetime.date(2018, 12, 18), datetime.date(2015, 1, 18), datetime.date(2018, 1, 22)]"
10333,e355b9a5,"[datetime.date(2018, 1, 2), datetime.date(2017, 1, 10), datetime.date(2018, 1, 10), datetime.date(2018, 3, 10)]"
2879,4b0975d7,[]
890,21aa3d92,"[datetime.date(2018, 4, 11), datetime.date(2018, 5, 17), datetime.date(2018, 4, 12), datetime.date(2010, 4, 13), datetime.date(2018, 3, 28)]"
10964,f021a51b,"[datetime.date(2021, 2, 16)]"
6595,97a3fdc3,"[datetime.date(2018, 6, 5), datetime.date(2019, 6, 1)]"
5151,7a5edd0e,"[datetime.date(2050, 3, 14), datetime.date(2015, 11, 14)]"
2319,3ea9a8af,"[datetime.date(2017, 1, 11)]"
6030,8c1323cb,"[datetime.date(2017, 12, 8), datetime.date(2015, 12, 14), datetime.date(2020, 12, 8), datetime.date(2017, 12, 19), datetime.date(2017, 12, 11)]"
523,1ac5748,"[datetime.date(2018, 5, 24)]"
5640,83b7bd78,"[datetime.date(2017, 12, 12), datetime.date(2015, 12, 12)]"
8453,bd4574c1,"[datetime.date(2050, 3, 10)]"
6513,961c348a,[]
7057,a0d54c23,"[datetime.date(2018, 5, 8), datetime.date(2018, 5, 14), datetime.date(2017, 7, 8)]"
3694,5cf01d1,[]
4187,6691b37e,"[datetime.date(2050, 1, 29), datetime.date(2018, 12, 29), datetime.date(2018, 1, 10), datetime.date(2017, 11, 30), datetime.date(2040, 1, 29)]"
5585,829c9df3,"[datetime.date(2025, 5, 21), datetime.date(2018, 5, 19), datetime.date(2017, 3, 19), datetime.date(2050, 3, 19), datetime.date(2018, 11, 19)]"
3334,557a0c9f,"[datetime.date(2017, 12, 15), datetime.date(2020, 12, 19), datetime.date(2017, 12, 19)]"
4726,71b00a95,"[datetime.date(2017, 12, 12), datetime.date(2020, 12, 11)]"
11330,f7ff0f6c,"[datetime.date(2018, 1, 1)]"
101,1258e246,"[datetime.date(2017, 2, 28), datetime.date(2018, 1, 3), datetime.date(2033, 12, 28), datetime.date(2016, 12, 28), datetime.date(2022, 12, 28)]"
8718,c2740ed,"[datetime.date(2017, 12, 15), datetime.date(2025, 12, 19), datetime.date(2017, 12, 19)]"
2691,46eb7dd9,"[datetime.date(2018, 5, 12), datetime.date(2018, 2, 10), datetime.date(2030, 2, 12), datetime.date(2001, 2, 12), datetime.date(2003, 2, 12)]"
10721,eb3e71a8,"[datetime.date(2018, 6, 11), datetime.date(2016, 6, 11), datetime.date(2009, 6, 11), datetime.date(2017, 6, 11), datetime.date(2018, 6, 5)]"
2771,487ed7f0,"[datetime.date(2015, 1, 20), datetime.date(2025, 1, 20), datetime.date(2018, 1, 21)]"
4286,687a1361,[]
4270,68412365,"[datetime.date(2018, 1, 2), datetime.date(2017, 5, 29), datetime.date(2016, 12, 28), datetime.date(2007, 12, 29), datetime.date(2032, 12, 29)]"
1437,2c4b5f12,"[datetime.date(2018, 2, 10), datetime.date(2000, 2, 7), datetime.date(2013, 2, 7), datetime.date(2018, 2, 12), datetime.date(2018, 2, 21)]"
4434,6bc6795a,"[datetime.date(2016, 12, 5), datetime.date(2018, 12, 23), datetime.date(2018, 1, 5), datetime.date(2016, 4, 5)]"
6736,9a1e7ca3,"[datetime.date(2017, 12, 6)]"
7654,ace6da01,"[datetime.date(2012, 12, 6), datetime.date(2017, 12, 31), datetime.date(2018, 2, 6)]"
11569,fc930571,"[datetime.date(2017, 12, 29)]"
8463,bd72a11f,"[datetime.date(2063, 1, 8), datetime.date(2018, 1, 8), datetime.date(2030, 1, 8), datetime.date(2015, 1, 8)]"
5038,7811cd5b,[]
6309,91bcf9a5,"[datetime.date(2017, 12, 6)]"
7823,b0207d1b,[]
6615,97f218f7,"[datetime.date(2018, 5, 4), datetime.date(2018, 5, 24)]"
10482,e69fcefe,"[datetime.date(2017, 1, 23), datetime.date(2017, 12, 1), datetime.date(2020, 12, 23), datetime.date(2017, 12, 23)]"
10725,eb5331a1,"[datetime.date(2018, 5, 28), datetime.date(2018, 12, 31), datetime.date(2018, 5, 23), datetime.date(2018, 12, 23), datetime.date(2017, 12, 31)]"
10413,e5087d5e,"[datetime.date(2016, 1, 10), datetime.date(2018, 3, 10), datetime.date(2020, 1, 10), datetime.date(2017, 1, 10), datetime.date(2018, 12, 10)]"
8160,b70c76bb,"[datetime.date(2017, 12, 12), datetime.date(2017, 8, 12), datetime.date(2009, 12, 12), datetime.date(2017, 9, 12), datetime.date(2017, 12, 13)]"
2474,425d12d6,"[datetime.date(2018, 1, 11), datetime.date(2015, 1, 11), datetime.date(2016, 1, 11), datetime.date(2018, 3, 11), datetime.date(2018, 5, 11)]"
714,1e82dfed,"[datetime.date(2011, 3, 27), datetime.date(2018, 1, 27), datetime.date(2018, 2, 7), datetime.date(2064, 2, 27), datetime.date(2018, 2, 27)]"
10017,dc32cd63,"[datetime.date(2018, 2, 18), datetime.date(2018, 2, 2), datetime.date(2018, 2, 5)]"
5170,7abdb162,"[datetime.date(2005, 5, 2), datetime.date(2030, 5, 17), datetime.date(2019, 5, 17), datetime.date(2051, 5, 17), datetime.date(2018, 5, 4)]"
11034,f19b5952,"[datetime.date(2018, 1, 2), datetime.date(2019, 1, 17), datetime.date(2018, 1, 17), datetime.date(2017, 1, 17), datetime.date(2017, 2, 17)]"
277,15f3425c,"[datetime.date(2018, 2, 15), datetime.date(2017, 2, 14), datetime.date(2018, 5, 14), datetime.date(2018, 3, 14), datetime.date(2009, 2, 14)]"
9037,c8b8e97b,"[datetime.date(2051, 5, 16), datetime.date(2030, 5, 16), datetime.date(2018, 5, 3)]"
9279,cdb6b024,"[datetime.date(2017, 12, 12), datetime.date(2016, 12, 12), datetime.date(2017, 1, 12), datetime.date(2017, 12, 20), datetime.date(2017, 12, 5)]"
9588,d3c0fa01,"[datetime.date(2009, 11, 7), datetime.date(2018, 5, 23), datetime.date(2018, 3, 25), datetime.date(2018, 5, 25), datetime.date(2019, 5, 25)]"
1762,3311fe19,"[datetime.date(2018, 1, 14), datetime.date(2018, 1, 10), datetime.date(2017, 2, 10), datetime.date(2018, 12, 10), datetime.date(2018, 8, 10)]"
9416,d03589fb,"[datetime.date(2017, 12, 13), datetime.date(2018, 6, 5), datetime.date(2013, 4, 17), datetime.date(2055, 12, 13)]"
10794,ec99a703,"[datetime.date(2017, 12, 15), datetime.date(2017, 12, 14), datetime.date(2025, 12, 14)]"
3384,568c2340,"[datetime.date(2011, 3, 27), datetime.date(2018, 5, 7), datetime.date(2018, 3, 4), datetime.date(2018, 5, 27), datetime.date(2018, 3, 1)]"
10871,ee41cd40,"[datetime.date(2017, 1, 12), datetime.date(2018, 1, 12), datetime.date(2020, 12, 12), datetime.date(2017, 12, 28), datetime.date(2018, 12, 12)]"
11022,f14d7654,[]
2688,46e0cdb9,"[datetime.date(2018, 5, 4), datetime.date(2009, 5, 16), datetime.date(2030, 5, 16), datetime.date(2009, 5, 20)]"
10185,dfe6664e,"[datetime.date(2000, 1, 10)]"
9195,cc0c986,"[datetime.date(2018, 5, 23), datetime.date(2026, 1, 23), datetime.date(2016, 1, 23), datetime.date(2017, 1, 23), datetime.date(2016, 10, 23)]"
5002,77817299,"[datetime.date(2019, 1, 24)]"
189,14440865,"[datetime.date(2055, 5, 29), datetime.date(2018, 5, 28), datetime.date(2008, 5, 29), datetime.date(2014, 5, 29), datetime.date(2018, 3, 29)]"
8149,b6d6c878,"[datetime.date(2018, 6, 13), datetime.date(2018, 6, 7), datetime.date(2018, 6, 5), datetime.date(2018, 6, 2)]"
4035,63526e47,"[datetime.date(2051, 5, 4), datetime.date(2018, 5, 4), datetime.date(2017, 12, 31)]"
9823,d8999694,"[datetime.date(2018, 5, 25)]"
3763,5e4745f9,[]
6244,903de3a3,"[datetime.date(2018, 5, 6), datetime.date(2025, 5, 6), datetime.date(2018, 5, 5), datetime.date(2018, 3, 31), datetime.date(2018, 5, 9)]"
1512,2dc07929,"[datetime.date(2018, 1, 24), datetime.date(2022, 1, 25), datetime.date(2018, 1, 31)]"
868,213aaaf3,"[datetime.date(2018, 6, 8), datetime.date(2018, 6, 7), datetime.date(2003, 6, 8)]"
10015,dc26ebbb,[]
774,1f8fc68b,"[datetime.date(2017, 3, 11), datetime.date(2019, 12, 11), datetime.date(2017, 8, 11), datetime.date(2017, 12, 11), datetime.date(2017, 12, 14)]"
6923,9e02f8ef,[]
11552,fc3a17c5,"[datetime.date(2018, 3, 3), datetime.date(2018, 5, 3), datetime.date(2020, 4, 3), datetime.date(2018, 4, 21), datetime.date(2100, 4, 3)]"
10366,e40f4be8,"[datetime.date(2017, 12, 15)]"
4815,737a9829,[]
2718,478f8a3d,"[datetime.date(2018, 5, 4), datetime.date(2022, 5, 5), datetime.date(2019, 5, 5), datetime.date(2051, 5, 5)]"
2452,41e6435e,[]
3650,5c2f6a74,"[datetime.date(2018, 6, 12), datetime.date(2018, 3, 14), datetime.date(2018, 12, 14), datetime.date(2018, 5, 29)]"
9358,cf1c3331,[]
6040,8c3953c5,"[datetime.date(2017, 5, 15), datetime.date(2025, 5, 21), datetime.date(2018, 5, 15), datetime.date(2053, 5, 15)]"
7630,ac6ae7b7,"[datetime.date(2016, 12, 14), datetime.date(2025, 12, 14), datetime.date(2017, 12, 11), datetime.date(2017, 12, 14), datetime.date(2022, 12, 14)]"
9960,db361e49,[]
156,13be3eea,"[datetime.date(2018, 2, 28), datetime.date(2018, 2, 13)]"
6431,949713c1,"[datetime.date(2018, 1, 20), datetime.date(2018, 1, 1)]"
6396,93ac8efb,"[datetime.date(2018, 3, 19)]"
8233,b8a89aad,"[datetime.date(2017, 12, 15), datetime.date(2052, 12, 15), datetime.date(2018, 3, 15), datetime.date(2017, 12, 14), datetime.date(2017, 12, 7)]"
8071,b4da73fb,"[datetime.date(2016, 1, 15)]"
10063,dd3b890b,"[datetime.date(2013, 2, 5)]"
8139,b6ab8737,[]
8943,c6e46810,"[datetime.date(2017, 5, 16), datetime.date(2009, 5, 16)]"
298,16316e61,[]
9160,cb714ce6,"[datetime.date(2018, 2, 20), datetime.date(2017, 2, 20), datetime.date(2017, 3, 31), datetime.date(2025, 2, 20), datetime.date(2017, 9, 30)]"
5045,7838576f,"[datetime.date(2018, 3, 25), datetime.date(2018, 5, 5), datetime.date(2018, 4, 5), datetime.date(2017, 3, 30)]"
8441,bcef1bc5,[]
10142,def8f72a,[]
704,1e5da6ec,[]
6352,92adf9f2,[]
7693,ad9fd558,"[datetime.date(2016, 6, 7), datetime.date(2018, 7, 7), datetime.date(2018, 6, 30), datetime.date(2018, 6, 12), datetime.date(2018, 8, 7)]"
3287,543e143f,"[datetime.date(2022, 3, 28)]"
11046,f1efa1ad,"[datetime.date(2009, 3, 29), datetime.date(2020, 3, 29)]"
392,180f9b7b,"[datetime.date(2015, 4, 18), datetime.date(2017, 12, 18), datetime.date(2015, 12, 18)]"
8017,b3ab2041,"[datetime.date(2018, 4, 6)]"
10320,e327e6f1,"[datetime.date(2017, 12, 21)]"
289,1615e96a,"[datetime.date(2065, 3, 6)]"
1500,2d844065,"[datetime.date(2018, 2, 10), datetime.date(2018, 2, 21), datetime.date(2010, 2, 18), datetime.date(2018, 2, 6), datetime.date(2018, 2, 19)]"
1055,24dc90fb,[]
2317,3ea0255f,"[datetime.date(2018, 6, 20), datetime.date(2018, 6, 11), datetime.date(2018, 6, 8)]"
10182,dfd98b39,"[datetime.date(2018, 6, 13), datetime.date(2018, 4, 21), datetime.date(2018, 1, 5)]"
3317,550aba72,"[datetime.date(2017, 3, 21), datetime.date(2034, 12, 21), datetime.date(2017, 12, 25), datetime.date(2017, 12, 16)]"
8497,be3b17,"[datetime.date(2018, 6, 4), datetime.date(2041, 6, 4), datetime.date(2017, 6, 4), datetime.date(2018, 6, 7), datetime.date(2018, 1, 1)]"
1010,241b73e5,"[datetime.date(2018, 5, 7)]"
4974,76cf0302,"[datetime.date(2014, 5, 6), datetime.date(2018, 4, 25), datetime.date(2018, 5, 6)]"
7937,b25397b7,"[datetime.date(2017, 12, 21), datetime.date(2017, 12, 27)]"
5340,7dfb1c49,"[datetime.date(2018, 5, 8), datetime.date(2022, 5, 8), datetime.date(2012, 5, 8)]"
3328,554f6bb0,"[datetime.date(2017, 12, 15), datetime.date(2017, 12, 14)]"
385,17ef69d5,"[datetime.date(2018, 5, 14), datetime.date(2014, 5, 14), datetime.date(2009, 5, 14)]"
10527,e789a855,"[datetime.date(2040, 12, 12), datetime.date(2017, 12, 12), datetime.date(2017, 12, 18), datetime.date(2043, 12, 12), datetime.date(2017, 12, 8)]"
9739,d6d7a36a,"[datetime.date(2018, 3, 8)]"
8843,c51668df,[]
11174,f4996631,"[datetime.date(2017, 12, 15), datetime.date(2020, 12, 19)]"
168,13e5064e,"[datetime.date(2018, 1, 22)]"
8674,c173a863,"[datetime.date(2018, 5, 17), datetime.date(2018, 5, 23), datetime.date(2018, 5, 24), datetime.date(2001, 2, 11), datetime.date(2018, 5, 11)]"
10612,e9314058,"[datetime.date(2018, 6, 6), datetime.date(2018, 5, 25), datetime.date(2060, 6, 5), datetime.date(2018, 6, 5)]"
11718,ff502df6,"[datetime.date(2018, 9, 6), datetime.date(2018, 2, 10), datetime.date(2017, 12, 12), datetime.date(2050, 2, 6), datetime.date(2018, 2, 6)]"
3954,61cc9936,"[datetime.date(2016, 6, 30), datetime.date(2007, 3, 19), datetime.date(2014, 3, 19), datetime.date(2016, 3, 19), datetime.date(2017, 6, 30)]"
5419,7f82434c,"[datetime.date(2012, 9, 21), datetime.date(2021, 12, 21), datetime.date(2017, 12, 21)]"
11461,fa8fef51,[]
11119,f3642a8a,"[datetime.date(2015, 4, 22), datetime.date(2018, 5, 22)]"
11396,f947cc21,[]
10220,e0b6b18d,"[datetime.date(2018, 2, 21), datetime.date(2018, 2, 15), datetime.date(2018, 2, 19)]"
11389,f9351007,"[datetime.date(2018, 2, 20)]"
9230,ccb3ce93,[]
7495,a9a9d9,"[datetime.date(2018, 6, 12), datetime.date(2011, 5, 11), datetime.date(2018, 5, 16), datetime.date(2018, 3, 11), datetime.date(2018, 5, 11)]"
9795,d7f9cd2e,"[datetime.date(2018, 5, 10)]"
5300,7d30b559,"[datetime.date(2018, 4, 12), datetime.date(2018, 4, 1)]"
7180,a3ac951c,"[datetime.date(2017, 12, 18), datetime.date(2017, 12, 11)]"
5939,8a4c54eb,"[datetime.date(2018, 6, 5), datetime.date(2011, 6, 4), datetime.date(2008, 6, 4), datetime.date(2018, 1, 4), datetime.date(2016, 6, 4)]"
3387,56a0052a,"[datetime.date(2014, 12, 7), datetime.date(2017, 5, 7)]"
717,1e8c0f5b,"[datetime.date(2018, 3, 22), datetime.date(2015, 3, 22)]"
